Título,Autor,Editora,Páginas,Formato,Peso,Acabamento,Categoria,Edição,Preço
Livro Os Inklings: O grupo literário de C.S. Lewis e J.R.R. Tolkien,Igor Gaspar e Gabriele Greggersen,Editora Trinitas,112,14cm x 21cm,250 gramas,Brochura,,1ª Edição,40
Livro Meios Essenciais de Graça - Paul Washer,Paul Washer,Editora Trinitas,92,14cm x 21cm,150 gramas,Brochura,,1ª Edição,30
Livro Breve Manual de Conservadorismo - Russell Kirk,Russell Kirk,Editora Trinitas,136,14cm x 21cm,250 gramas,Brochura,,1ª Edição,40
Livro Cultivando um Coração de Virtudes - Vigen Guroian,Vigen Guroian,Editora Trinitas,252,14cm x 21cm,290 gramas,Brochura,,1ª Edição,50
Livro Gratidão - Mary K. Mohler,Mary K. Mohler,Editora Trinitas,144,14cm x 21cm,150 gramas,Brochura,,1ª Edição,40
"Livro Um Hobbit, um Guarda-roupa e uma Grande Guerra - Joseph Loconte",Joseph Loconte,Editora Trinitas,240,16cm x 23cm,350 gramas,Brochura,,1ª Edição,60
Livro Abolição da Sanidade - Steve Turley,Steve Turley,Editora Trinitas,56,14cm x 21cm,100 gramas,Brochura,,1ª Edição,30
Livro Graça Maravilhosa - Kevin DeYoung,Kevin DeYoung,Editora Trinitas,184,14cm x 21cm,250 gramas,Brochura,,1ª Edição,40
Livro Lavagem Cerebral - Ben Shapiro,Ben Shapiro,Editora Trinitas,276,16cm x 23cm,450 gramas,Brochura,,1ª Edição,65
Livro Eva no Exílio - Rebekah Merkle,Rebekah Merkle,Editora Trinitas,224,14cm x 21cm,290 gramas,Brochura,,1ª Edição,45
Livro Sabedoria e Eloquência - Robert Littlejohn e Charles T. Evans,Robert Littlejohn e Charles T. Evans,Editora Trinitas,260,14cm x 21cm,350 gramas,Brochura,,1ª Edição,60
Livro Alegria no Sofrimento - Matt Chandler,Matt Chandler,Editora Trinitas,280,14cm x 21cm,350 gramas,Brochura,,1ª Edição,65
Livro O mandamento esquecido - Tim Challies,Tim Challies,Editora Trinitas,72,14cm x 21cm,125 gramas,Brochura,,1ª Edição,30
Livro Filhos: educando daqui para a eternidade - Douglas Wilson,Douglas Wilson,Editora Trinitas,152,14cm x 21cm,290 gramas,Brochura,,1ª Edição,40
"Livro Teologia prática - Joel Beeke, David Hall, Michael Haykin","Joel Beeke, David Hall e Michael Haykin",Editora Trinitas,352,16cm x 23cm,500 gramas,Brochura,,1ª Edição,70
Livro Beleza redimida - Steve Turley,Steve Turley,Editora Trinitas,68,14cm x 21cm,125 gramas,Brochura,,1ª Edição,30
Livro Teologia do deslumbramento - Steve Turley,Steve Turley,Editora Trinitas,68,14cm x 21cm,125 gramas,Brochura,,1ª Edição,30
Livro Virtuosa - Nancy Wilson,Nancy Wilson,Editora Trinitas,120,14cm x 21cm,150 gramas,Brochura,,1ª Edição,40
Livro Dê o exemplo - Tim Challies,Tim Challies,Editora Trinitas,72,14cm x 21cm,125 gramas,Brochura,,1ª Edição,30
Livro A grande mentira: expondo as raízes nazistas da esquerda - Dinesh D'Souza,Dinesh D'Souza,Editora Trinitas,300,16cm x 23cm,450 gramas,Brochura,,1ª Edição,65
Livro Moldando mentes e corações - Monica Whatley,Monica Whatley,Editora Trinitas,92,14cm x 21cm,125 gramas,Brochura,,1ª Edição,30
Livro A Saga Wingfeather: O Monstro nos Vales - Andrew Peterson,Andrew Peterson,Editora Trinitas,352,16cm x 23cm,500 gramas,Brochura,,1ª Edição,65
Livro Encontrando-se com Jesus: um plano de leitura bíblica para crianças - David Murray,David Murray,Editora Trinitas,208,18cm x 23cm,322 gramas,Brochura,,1ª Edição,70
Livro Artur e o Coração de Pedra - Guilherme Iamarino,Guilherme Iamarino,Editora Trinitas,152,21cm x 21cm,350 gramas,Brochura,,1ª Edição,55
Livro Breve Manual de Boas Maneiras para Meninos - Emilie Barnes e Bob Barnes,Emilie Barnes,Editora Trinitas,32,21cm x 21cm,125 gramas,Brochura,,1ª Edição,45
Livro Breve Manual de Boas Maneiras para Meninas - Emilie Barnes,Emilie Barnes,Editora Trinitas,32,21cm x 21cm,125 gramas,Brochura,,1ª Edição,45
Livro Feminilidade em Crise - Renato Vargens,Renato Vargens,Editora Trinitas,144,14cm x 21cm,200 gramas,Brochura,,1ª Edição,40
Livro Breve Manual de Aconselhamento Redentivo - Jônatas Abdias,Jônatas Abdias,Editora Trinitas,144,14cm x 21cm,200 gramas,Brochura,,1ª Edição,40
Livro Deveres da Comunhão Cristã - John Owen,John Owen,Editora Trinitas,136,14cm x 21cm,150 gramas,Brochura,,1ª Edição,40
Livro Ateísmo no Banco dos Réus - Louis Markos,Louis Markos,Editora Trinitas,292,16cm x 23cm,403 gramas,Brochura,,1ª Edição,65
Livro Vida na Selva - Dan Dewitt,Dan DeWitt,Editora Trinitas,152,14cm x 21cm,200 gramas,Brochura,,1ª Edição,45
Livro Calvinismo Humilde - J. A. Medders,J. A. Medders,Editora Trinitas,,14cm x 21cm,254 gramas,Brochura,,1ª Edição,45
Livro A Saga Wingfeather: Norte! Ou Seja Devorado - Andrew Peterson,Andrew Peterson,Editora Trinitas,352,16cm x 23cm,400 gramas,Brochura,,1ª Edição,65
Livro Maternidade Ressurreta - Emily Jensen &amp, Laura Wifler,Editora Trinitas,232,16cm x 23cm,290 gramas,Brochura,,1ª Edição,55
Livro A Língua é Fogo - Simone Quaresma,Simone Quaresma,Editora Trinitas,120,14cm x 21cm,150 gramas,Brochura,,1ª Edição,40
Livro Educação clássica vs. educação moderna: A visão de C.S. Lewis - Steve Turley,Steve Turley,Editora Trinitas,64,14cm x 21cm,85 gramas,Brochura,,1ª Edição,30
Livro Não Seremos Calados - Erwin W. Lutzer,Erwin W. Lutzer,Editora Trinitas,304,16cm x 23cm,290 gramas,Brochura,,1ª Edição,65
Livro Como Está Escrito - Kenneth Gentry,,Editora Trinitas,280,16cm x 23cm,350 gramas,Brochura,,1ª Edição,65
Livro Música Clássica vs. Pop - Steve Turley,Steve Turley,Editora Trinitas,64,14cm x 21cm,100 gramas,Brochura,,1ª Edição,30
Livro O Espião Fiel: Dietrich Bonhoeffer e o Plano para Matar Hitler - John Hendrix,John Hendrix,Editora Trinitas,184,16cm x 23cm,290 gramas,Brochura,,1ª Edição,70
Livro Em defesa da educação cristã clássica - Douglas Wilson,Douglas Wilson,Editora Trinitas,304,16cm x 23cm,350 gramas,Brochura,,1ª Edição,65
Livro O Criador vs. Os Usurpadores - Jerry Bowyer,Jerry Bowyer,Editora Trinitas,224,14cm x 21cm,250 gramas,Brochura,,1ª Edição,45
Livro Contentamento - Nancy Wilson,Nancy Wilson,Editora Trinitas,112,14cm x 21cm,150 gramas,Brochura,,1ª Edição,40
Livro Discipulado Familiar - Matt Chandler e Adam Griffin,Matt Chandler e Adam Griffin,Editora Trinitas,248,14cm x 21cm,250 gramas,Brochura,,1ª Edição,45
Livro A Aula de Desenho - Matt Crilley,Matt Crilley,Editora Trinitas,144,18cm x 25cm,200 gramas,Brochura,,1ª Edição,50
Livro Cresça! - Tim Challies,Tim Challies,Editora Trinitas,88,14cm x 21cm,100 gramas,Brochura,,1ª Edição,30
Livro Envelhecendo com Graça - Tim Challies,Tim Challies,Editora Trinitas,80,14cm x 21cm,100 gramas,Brochura,,1ª Edição,30
Livro A Mente Parasita - Gad Saad,Gad Saad,Editora Trinitas,292,16cm x 23cm,450 gramas,Brochura,,1ª Edição,65
Livro Paternidade em Crise - Renato Vargens,Renato Vargens,Editora Trinitas,128,14cm x 21cm,125 gramas,Brochura,,1ª Edição,40
Livro A Beleza de Cristo - Samuel Rutherford,Samuel Rutherford,Editora Trinitas,72,14cm x 21cm,100 gramas,Brochura,,1ª Edição,30
Livro Cordel de Carrossel: A história de Noemi e Rute - Rodrigo Abreu,Rodrigo Abreu,Editora Trinitas,52,24cmx20cm,150 gramas,Brochura,,1ª Edição,40
Livro Cordel da Rainha Hadassa: A história de Ester - Rodrigo Abreu,Rodrigo Abreu,Editora Trinitas,52,24cmx20cm,150 gramas,Brochura,,1ª Edição,40
Livro Cordel do Pão do Céu: A história de Judá e Tamar - Rodrigo Abreu,Rodrigo Abreu,Editora Trintias,56,24cmx20cm,150 gramas,Brochura,,1ª Edição,40
